              table_name               |            column_name             |        data_type         | character_maximum_length | numeric_precision | numeric_scale | is_nullable 
---------------------------------------+------------------------------------+--------------------------+--------------------------+-------------------+---------------+-------------
 anexos                                | id                                 | uuid                     |                          |                   |               | NO
 anexos                                | user_id                            | uuid                     |                          |                   |               | NO
 anexos                                | conta_pagar_id                     | uuid                     |                          |                   |               | YES
 anexos                                | conta_receber_id                   | uuid                     |                          |                   |               | YES
 anexos                                | nome_arquivo                       | text                     |                          |                   |               | NO
 anexos                                | storage_path                       | text                     |                          |                   |               | NO
 anexos                                | tipo_arquivo                       | text                     |                          |                   |               | YES
 anexos                                | tamanho                            | bigint                   |                          |                64 |             0 | YES
 anexos                                | created_at                         | timestamp with time zone |                          |                   |               | NO
 assinaturas                           | id                                 | uuid                     |                          |                   |               | NO
 assinaturas                           | user_id                            | uuid                     |                          |                   |               | NO
 assinaturas                           | status                             | text                     |                          |                   |               | NO
 assinaturas                           | plano                              | text                     |                          |                   |               | NO
 assinaturas                           | valor                              | numeric                  |                          |                   |               | NO
 assinaturas                           | data_inicio                        | timestamp with time zone |                          |                   |               | YES
 assinaturas                           | data_fim                           | timestamp with time zone |                          |                   |               | YES
 assinaturas                           | metodo_pagamento                   | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_order_id                   | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_charge_id                  | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_customer_id                | text                     |                          |                   |               | YES
 assinaturas                           | pix_qr_code                        | text                     |                          |                   |               | YES
 assinaturas                           | pix_qr_code_url                    | text                     |                          |                   |               | YES
 assinaturas                           | boleto_url                         | text                     |                          |                   |               | YES
 assinaturas                           | boleto_barcode                     | text                     |                          |                   |               | YES
 assinaturas                           | created_at                         | timestamp with time zone |                          |                   |               | NO
 assinaturas                           | updated_at                         | timestamp with time zone |                          |                   |               | NO
 audit_logs                            | id                                 | uuid                     |                          |                   |               | NO
 audit_logs                            | user_id                            | uuid                     |                          |                   |               | NO
 audit_logs                            | action                             | text                     |                          |                   |               | NO
 audit_logs                            | table_name                         | text                     |                          |                   |               | NO
 audit_logs                            | record_id                          | text                     |                          |                   |               | YES
 audit_logs                            | old_data                           | jsonb                    |                          |                   |               | YES
 audit_logs                            | new_data                           | jsonb                    |                          |                   |               | YES
 audit_logs                            | ip_address                         | text                     |                          |                   |               | YES
 audit_logs                            | created_at                         | timestamp with time zone |                          |                   |               | NO
 auditoria_transacoes_cartao           | id                                 | uuid                     |                          |                   |               | NO
 auditoria_transacoes_cartao           | user_id                            | uuid                     |                          |                   |               | YES
 auditoria_transacoes_cartao           | empresa_id                         | uuid                     |                          |                   |               | YES
 auditoria_transacoes_cartao           | tabela                             | text                     |                          |                   |               | NO
 auditoria_transacoes_cartao           | operacao                           | text                     |                          |                   |               | NO
 auditoria_transacoes_cartao           | registro_id                        | uuid                     |                          |                   |               | YES
 auditoria_transacoes_cartao           | dados_antigos                      | jsonb                    |                          |                   |               | YES
 auditoria_transacoes_cartao           | dados_novos                        | jsonb                    |                          |                   |               | YES
 auditoria_transacoes_cartao           | ip_address                         | inet                     |                          |                   |               | YES
 auditoria_transacoes_cartao           | user_agent                         | text                     |                          |                   |               | YES
 auditoria_transacoes_cartao           | created_at                         | timestamp with time zone |                          |                   |               | YES
 bancos_cartoes                        | id                                 | uuid                     |                          |                   |               | NO
 bancos_cartoes                        | user_id                            | uuid                     |                          |                   |               | NO
 bancos_cartoes                        | tipo                               | text                     |                          |                   |               | NO
 bancos_cartoes                        | nome                               | text                     |                          |                   |               | NO
 bancos_cartoes                        | banco                              | text                     |                          |                   |               | YES
 bancos_cartoes                        | agencia                            | text                     |                          |                   |               | YES
 bancos_cartoes                        | conta                              | text                     |                          |                   |               | YES
 bancos_cartoes                        | bandeira                           | text                     |                          |                   |               | YES
 bancos_cartoes                        | limite                             | numeric                  |                          |                   |               | YES
 bancos_cartoes                        | saldo_inicial                      | numeric                  |                          |                   |               | YES
 bancos_cartoes                        | ativo                              | boolean                  |                          |                   |               | NO
 bancos_cartoes                        | observacoes                        | text                     |                          |                   |               | YES
 bancos_cartoes                        | created_at                         | timestamp with time zone |                          |                   |               | NO
 bancos_cartoes                        | updated_at                         | timestamp with time zone |                          |                   |               | NO
 budget_planning_lines                 | id                                 | uuid                     |                          |                   |               | NO
 budget_planning_lines                 | user_id                            | uuid                     |                          |                   |               | NO
 budget_planning_lines                 | empresa_id                         | uuid                     |                          |                   |               | YES
 budget_planning_lines                 | plano_conta_id                     | uuid                     |                          |                   |               | NO
 budget_planning_lines                 | fiscal_year                        | integer                  |                          |                32 |             0 | NO
 budget_planning_lines                 | values                             | jsonb                    |                          |                   |               | NO
 budget_planning_lines                 | created_at                         | timestamp with time zone |                          |                   |               | YES
 budget_planning_lines                 | updated_at                         | timestamp with time zone |                          |                   |               | YES
 card_aliquotas_reforma                | id                                 | uuid                     |                          |                   |               | NO
 card_aliquotas_reforma                | ano                                | integer                  |                          |                32 |             0 | NO
 card_aliquotas_reforma                | aliquota_cbs                       | numeric                  |                          |                 7 |             4 | NO
 card_aliquotas_reforma                | aliquota_ibs                       | numeric                  |                          |                 7 |             4 | NO
 card_aliquotas_reforma                | observacao                         | text                     |                          |                   |               | YES
 card_aliquotas_reforma                | created_at                         | timestamp with time zone |                          |                   |               | NO
 card_aliquotas_reforma                | updated_at                         | timestamp with time zone |                          |                   |               | NO
 card_audit_logs                       | id                                 | uuid                     |                          |                   |               | NO
 card_audit_logs                       | user_id                            | uuid                     |                          |                   |               | NO
 card_audit_logs                       | acao                               | text                     |                          |                   |               | NO
 card_audit_logs                       | entidade                           | text                     |                          |                   |               | NO
 card_audit_logs                       | entidade_id                        | uuid                     |                          |                   |               | YES
 card_audit_logs                       | detalhes                           | jsonb                    |                          |                   |               | YES
 card_audit_logs                       | created_at                         | timestamp with time zone |                          |                   |               | NO
 card_dashboard_cache                  | id                                 | uuid                     |                          |                   |               | NO
 card_dashboard_cache                  | user_id                            | uuid                     |                          |                   |               | NO
 card_dashboard_cache                  | empresa_id                         | uuid                     |                          |                   |               | YES
 card_dashboard_cache                  | total_bruto                        | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | total_liquido                      | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | total_taxas                        | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | total_transacoes                   | integer                  |                          |                32 |             0 | YES
 card_dashboard_cache                  | pendentes                          | integer                  |                          |                32 |             0 | YES
 card_dashboard_cache                  | conferidas                         | integer                  |                          |                32 |             0 | YES
 card_dashboard_cache                  | divergentes                        | integer                  |                          |                32 |             0 | YES
 card_dashboard_cache                  | chargebacks                        | integer                  |                          |                32 |             0 | YES
 card_dashboard_cache                  | por_adquirente                     | jsonb                    |                          |                   |               | YES
 card_dashboard_cache                  | por_bandeira                       | jsonb                    |                          |                   |               | YES
 card_dashboard_cache                  | split_cbs                          | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | split_ibs                          | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | split_liquido_projetado            | numeric                  |                          |                15 |             2 | YES
 card_dashboard_cache                  | cashflow_previsto                  | jsonb                    |                          |                   |               | YES
 card_dashboard_cache                  | atualizado_em                      | timestamp with time zone |                          |                   |               | YES
 card_importacoes                      | id                                 | uuid                     |                          |                   |               | NO
 card_importacoes                      | user_id                            | uuid                     |                          |                   |               | NO
 card_importacoes                      | empresa_id                         | uuid                     |                          |                   |               | YES
 card_importacoes                      | adquirente                         | text                     |                          |                   |               | NO
 card_importacoes                      | tipo_arquivo                       | text                     |                          |                   |               | NO
 card_importacoes                      | nome_arquivo                       | text                     |                          |                   |               | NO
 card_importacoes                      | tamanho_arquivo                    | integer                  |                          |                32 |             0 | YES
 card_importacoes                      | total_linhas                       | integer                  |                          |                32 |             0 | YES
 card_importacoes                      | total_importadas                   | integer                  |                          |                32 |             0 | YES
 card_importacoes                      | total_erros                        | integer                  |                          |                32 |             0 | YES
 card_importacoes                      | erros                              | jsonb                    |                          |                   |               | YES
 card_importacoes                      | status                             | text                     |                          |                   |               | YES
 card_importacoes                      | processado_em                      | timestamp with time zone |                          |                   |               | YES
 card_importacoes                      | criado_em                          | timestamp with time zone |                          |                   |               | YES
 card_relatorios_gerados               | id                                 | uuid                     |                          |                   |               | NO
 card_relatorios_gerados               | user_id                            | uuid                     |                          |                   |               | NO
 card_relatorios_gerados               | empresa_id                         | uuid                     |                          |                   |               | YES
 card_relatorios_gerados               | tipo_relatorio                     | text                     |                          |                   |               | NO
 card_relatorios_gerados               | periodo_inicio                     | date                     |                          |                   |               | NO
 card_relatorios_gerados               | periodo_fim                        | date                     |                          |                   |               | NO
 card_relatorios_gerados               | filtros                            | jsonb                    |                          |                   |               | YES
 card_relatorios_gerados               | total_transacoes                   | integer                  |                          |                32 |             0 | YES
 card_relatorios_gerados               | total_bruto                        | numeric                  |                          |                15 |             2 | YES
 card_relatorios_gerados               | total_liquido                      | numeric                  |                          |                15 |             2 | YES
 card_relatorios_gerados               | total_divergencias                 | integer                  |                          |                32 |             0 | YES
 card_relatorios_gerados               | nome_arquivo                       | text                     |                          |                   |               | YES
 card_relatorios_gerados               | tamanho_bytes                      | integer                  |                          |                32 |             0 | YES
 card_relatorios_gerados               | criado_em                          | timestamp with time zone |                          |                   |               | YES
 card_report_config                    | id                                 | uuid                     |                          |                   |               | NO
 card_report_config                    | user_id                            | uuid                     |                          |                   |               | NO
 card_report_config                    | empresa_id                         | uuid                     |                          |                   |               | YES
